person_id,title,firm,start_date,end_date,location
91,Software Developer,RELIABLE GOVERNMENT SOLUTIONS INC,06/2014,Present,"Beltsville, MD"
91,Database Administrator,INDEPENDENT SOFTWARE INC,02/2013,09/2013,"Columbia, MD"
91,Database Administrator,TANAGER INC,10/2011,11/2012,"Annapolis Junction, MD"
91,Database Administrator,"SET FOCUS, LLC",11/2010,10/2011,"Parsippany, NJ"
92,Sr. Database Administrator/Data Analyst,TIAA-CREF,11/2007,08/2013,"New York, NY"
92,Sr. Database Analyst/Project Manager,Canada Revenue Agency,10/2003,11/2007,"Ottawa, ON"
93,Lead Oracle DBA,City Credit Union,06/2017,06/2019,"Dallas, TX"
93,Oracle DBA,ATOS Digital Health Solutions,09/2015,06/2017,"Irving, TX"
93,Jr Oracle Database Administrator,In-Telecom,02/2012,08/2015,"Slidell, LA"
94,Database Administrator,Ultrafryer,06/2017,Present,"Schertz, TX"
94,Content Operations Project Manager,AT&T,06/2010,08/2016,"San Antonio, TX"
94,IT Manager,Aria Medical Equipment,08/2008,09/2009,"San Antonio, TX"
95,SQL/ETL Developer,Express Capital Funding,01/2018,Present,"Anaheim, CA"
95,SSIS/Report Developer,Springleaf Financial,03/2016,01/2018,"Anaheim, CA"
95,Database Developer,Guardian International,10/2014,03/2016,"Alhambra, CA"
95,Network Administrator,Guardian International,02/2013,10/2014,
96,Oracle Database Administrator,SUBARU AUTOMOTIVE,09/2017,Present,"Lafayette, IN"
96,Oracle Database Administrator,MATERIAL IN MOTION (MIM),05/2015,08/2017,"Fairbun, GA"
96,Junior Oracle DBA,BOSTON SCIENTIFIC,01/2013,04/2015,"Minneapolis, MN"
96,IT support Administrator,Target corp,08/2010,12/2012,"Minneapolis, MN"
97,Network and Database Administrator,Lipsey Logistics Worldwide,03/2017,Present,"Chattanooga, TN"
97,Interim IT Manager,Lipsey Logistics Worldwide,11/2018,01/2019,"Chattanooga, TN"
97,Network Technician,Comcast Cable,04/2011,03/2017,2030 East Polymer Drive
98,RESEARCH DATABASE ADMINISTRATOR,THE ALEXANDER GROUP,04/2018,Present,"Houston, TX"
98,IT MANAGER,VOLUNTEERS OF AMERICA OF GREATER BATON ROUGE,08/2016,02/2018,"Baton Rouge, LA"
98,PASTOR,ANTIOCHIAN ARCHDIOCESE OF NORTH AMERICA,11/2011,10/2016,North America
98,HELP DESK ANALYST,ANTIOCHIAN ARCHDIOCESE OF NORTH AMERICA,06/2014,09/2015,
99,Scrum Master,AKS Cyber Tech Inc,01/2016,Present,"Lorton, VA"
99,Security Control Assessor,Integrated Systems,10/2013,04/2015,
99,ORACLE DATABASE ADMINISTRATOR,Pacific Systems,09/2009,10/2013,"McDonough, GA"
100,Help Desk Technician,PowerTrain Inc.,03/19,Present,
100,Database Administrator Intern,KCW Engineering Technologies,2018,Present,"Glen Burnie, MD"
100,Assistant Deli Manager,Safeway Inc,2010,Present,"Gambrills, MD"
101,F-35 Suitability Analyst,Joint Operational Test Team / Royal Netherlands Air Force,09/17,Present,"Edwards AFB, CA"
101,F-35 Database Administrator,Royal Netherlands Air Force,05/14,09/17,"Edwards AFB, CA"
